gene_name	rank
LOC100682740	0.995503695037036
LOC100685034	0.993805959424087
LOC608048	0.991182536221052
LOC102156149	0.990695046136407
LOC111090625	0.989722044253326
SLC13A1	0.985899500610612
LOC102153858	0.984334360615367
LOC119870833	0.98427322145473
LOC111090911	0.983773111301493
LOC111091002	0.982337534369857
PRSS2	0.982058441935873
LOC102152031	0.979293266792589
LOC111090067	0.974190874791532
LOC100687092	0.97277591229755
RIMS2	0.967375031828755
NAA11	0.965925413769771
C18H11orf91	0.963724468749392
UOX	0.963516871999522
LOC119863875	0.962557019847687
LOC111098089	0.962251560294888
LOC111090065	0.962016263452846
LOC119869334	0.960016729797614
LOC102155579	0.959409923514941
SYCP1	0.958909696251518
LOC102152129	0.956525232523022
LOC607475	0.955041248687483
TAFA2	0.953268460425493
