"gene_id","gene_name"
"gene-LOC119869889|LOC119869889","LOC119869889"
"gene-LOC119870730|LOC119870730","LOC119870730"
"gene-STX7|STX7","STX7"
"gene-LOC119870647|LOC119870647","LOC119870647"
"gene-TAAR5|TAAR5","TAAR5"
"gene-TAAR4|TAAR4","TAAR4"
"gene-LOC100686959|LOC100686959","LOC100686959"
"gene-LOC119874067|LOC119874067","LOC119874067"
"gene-VNN3|VNN3","VNN3"
"gene-VNN1|VNN1","VNN1"
"gene-LOC119869965|LOC119869965","LOC119869965"
"gene-LOC102155332|LOC102155332","LOC102155332"
"gene-SLC18B1|SLC18B1","SLC18B1"
"gene-LOC111095265|LOC111095265","LOC111095265"
"gene-RPS12|RPS12","RPS12"
"gene-LOC119869906|LOC119869906","LOC119869906"
"gene-LOC119869922|LOC119869922","LOC119869922"
"gene-LOC119869914|LOC119869914","LOC119869914"
"gene-LOC119869895|LOC119869895","LOC119869895"
"gene-LOC111095273|LOC111095273","LOC111095273"
"gene-LOC476208|LOC476208","LOC476208"
"gene-LOC119870732|LOC119870732","LOC119870732"
"gene-LOC111095280|LOC111095280","LOC111095280"
"gene-EYA4|EYA4","EYA4"
"gene-LOC111095294|LOC111095294","LOC111095294"
"gene-LOC100684703|LOC100684703","LOC100684703"
"gene-LOC102156588|LOC102156588","LOC102156588"
"gene-LOC119869957|LOC119869957","LOC119869957"
"gene-LOC611353|LOC611353","LOC611353"
"gene-TCF21|TCF21","TCF21"
"gene-LOC119870649|LOC119870649","LOC119870649"
"gene-TBPL1|TBPL1","TBPL1"
"gene-SLC2A12|SLC2A12","SLC2A12"
"gene-LOC119869951|LOC119869951","LOC119869951"
"gene-SGK1|SGK1","SGK1"
"gene-LOC119869853|LOC119869853","LOC119869853"
"gene-LOC119870650|LOC119870650","LOC119870650"
"gene-LOC106558449|LOC106558449","LOC106558449"
"gene-LOC106559542|LOC106559542","LOC106559542"
"gene-LOC111095317|LOC111095317","LOC111095317"
"gene-LOC119870651|LOC119870651","LOC119870651"
"gene-ALDH8A1|ALDH8A1","ALDH8A1"
"gene-HBS1L|HBS1L","HBS1L"
